Date Accessed,User Agent - Simple,User Agent - Full,IP Address,Number of Logins,Last Date Accessed
Wed Aug 14 2019 10:48:47 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,13,Wed Aug 14 2019 23:25:38 GMT-0500 (CDT)
Wed Aug 14 2019 07:10:34 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,14,Wed Aug 14 2019 16:48:34 GMT-0500 (CDT)
Wed Aug 14 2019 06:45:46 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,6,Wed Aug 14 2019 11:30:15 GMT-0500 (CDT)
Tue Aug 13 2019 23:27:27 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,3,Wed Aug 14 2019 02:27:16 GMT-0500 (CDT)
Tue Aug 13 2019 21:05:19 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,6,Wed Aug 14 2019 00:27:10 GMT-0500 (CDT)
Tue Aug 13 2019 20:20:06 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,1,Tue Aug 13 2019 20:20:06 GMT-0500 (CDT)
Tue Aug 13 2019 18:45:31 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",24.131.186.87,2,Tue Aug 13 2019 19:45:44 GMT-0500 (CDT)
Tue Aug 13 2019 18:18:13 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,1,Tue Aug 13 2019 18:18:13 GMT-0500 (CDT)
Tue Aug 13 2019 14:43:21 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,4,Tue Aug 13 2019 17:14:02 GMT-0500 (CDT)
Tue Aug 13 2019 11:13:40 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,8,Tue Aug 13 2019 14:30:10 GMT-0500 (CDT)
Tue Aug 13 2019 10:42:39 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,18,Tue Aug 13 2019 23:17:55 GMT-0500 (CDT)
Tue Aug 13 2019 07:10:35 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,11,Tue Aug 13 2019 20:34:15 GMT-0500 (CDT)
Tue Aug 13 2019 06:46:36 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,5,Tue Aug 13 2019 10:32:05 GMT-0500 (CDT)
Tue Aug 13 2019 01:10:34 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Tue Aug 13 2019 01:10:34 GMT-0500 (CDT)
Mon Aug 12 2019 21:58:37 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,5,Tue Aug 13 2019 00:06:47 GMT-0500 (CDT)
Mon Aug 12 2019 21:53:25 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,4,Mon Aug 12 2019 22:59:36 GMT-0500 (CDT)
Mon Aug 12 2019 18:15:08 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",131.212.250.225,5,Mon Aug 12 2019 20:29:04 GMT-0500 (CDT)
Mon Aug 12 2019 18:03:54 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,5,Mon Aug 12 2019 21:19:50 GMT-0500 (CDT)
Mon Aug 12 2019 15:47:36 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,4,Mon Aug 12 2019 16:49:38 GMT-0500 (CDT)
Mon Aug 12 2019 15:40:52 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,3,Mon Aug 12 2019 17:47:28 GMT-0500 (CDT)
Mon Aug 12 2019 15:07:05 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,3,Mon Aug 12 2019 15:29:02 GMT-0500 (CDT)
Mon Aug 12 2019 13:21:32 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",24.118.21.68,4,Mon Aug 12 2019 14:22:18 GMT-0500 (CDT)
Mon Aug 12 2019 13:18:36 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",24.118.21.68,5,Mon Aug 12 2019 14:46:38 GMT-0500 (CDT)
Mon Aug 12 2019 12:52:54 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,1,Mon Aug 12 2019 12:52:54 GMT-0500 (CDT)
Mon Aug 12 2019 10:38:40 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,14,Mon Aug 12 2019 23:21:54 GMT-0500 (CDT)
Mon Aug 12 2019 07:10:33 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,6,Mon Aug 12 2019 12:28:29 GMT-0500 (CDT)
Mon Aug 12 2019 06:45:02 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,9,Mon Aug 12 2019 12:13:46 GMT-0500 (CDT)
Mon Aug 12 2019 00:10:03 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,4,Mon Aug 12 2019 01:10:35 GMT-0500 (CDT)
Sun Aug 11 2019 22:27:48 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,5,Mon Aug 12 2019 00:38:49 GMT-0500 (CDT)
Sun Aug 11 2019 21:01:48 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Sun Aug 11 2019 21:01:48 GMT-0500 (CDT)
Sun Aug 11 2019 18:50:37 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Sun Aug 11 2019 18:50:37 GMT-0500 (CDT)
Sun Aug 11 2019 17:02:23 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,6,Sun Aug 11 2019 18:48:53 GMT-0500 (CDT)
Sun Aug 11 2019 15:07:17 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,2,Sun Aug 11 2019 16:44:33 GMT-0500 (CDT)
Sun Aug 11 2019 13:13:43 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",24.118.21.68,3,Sun Aug 11 2019 13:25:19 GMT-0500 (CDT)
Sun Aug 11 2019 12:52:07 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,1,Sun Aug 11 2019 12:52:07 GMT-0500 (CDT)
Sun Aug 11 2019 10:53:15 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,17,Sun Aug 11 2019 22:38:35 GMT-0500 (CDT)
Sun Aug 11 2019 09:04:10 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,12,Sun Aug 11 2019 12:20:00 GMT-0500 (CDT)
Sun Aug 11 2019 06:39:38 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,12,Sun Aug 11 2019 16:01:03 GMT-0500 (CDT)
Sat Aug 10 2019 23:52:54 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,3,Sat Aug 10 2019 23:52:58 GMT-0500 (CDT)
Sat Aug 10 2019 16:29:15 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,10,Sun Aug 11 2019 00:11:58 GMT-0500 (CDT)
Sat Aug 10 2019 12:54:47 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,12,Sat Aug 10 2019 22:57:42 GMT-0500 (CDT)
Sat Aug 10 2019 12:37:39 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Sat Aug 10 2019 12:37:39 GMT-0500 (CDT)
Sat Aug 10 2019 10:18:33 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Sat Aug 10 2019 10:18:33 GMT-0500 (CDT)
Sat Aug 10 2019 09:52:42 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,2,Sat Aug 10 2019 10:53:50 GMT-0500 (CDT)
Sat Aug 10 2019 07:18:32 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,2,Sat Aug 10 2019 08:18:33 GMT-0500 (CDT)
Sat Aug 10 2019 06:43:16 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,3,Sat Aug 10 2019 08:04:39 GMT-0500 (CDT)
Sat Aug 10 2019 01:18:34 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Sat Aug 10 2019 01:18:34 GMT-0500 (CDT)
Fri Aug 09 2019 23:10:29 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,3,Sat Aug 10 2019 00:21:22 GMT-0500 (CDT)
Fri Aug 09 2019 21:49:04 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,4,Fri Aug 09 2019 23:16:36 GMT-0500 (CDT)
Fri Aug 09 2019 20:23:39 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",24.118.21.68,5,Fri Aug 09 2019 21:09:11 GMT-0500 (CDT)
Fri Aug 09 2019 17:12:29 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",24.118.21.68,6,Fri Aug 09 2019 17:37:29 GMT-0500 (CDT)
Fri Aug 09 2019 17:04:30 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",24.118.21.68,16,Fri Aug 09 2019 21:00:29 GMT-0500 (CDT)
Fri Aug 09 2019 14:31:31 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,1,Fri Aug 09 2019 14:31:31 GMT-0500 (CDT)
Fri Aug 09 2019 13:51:21 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,5,Fri Aug 09 2019 15:59:54 GMT-0500 (CDT)
Fri Aug 09 2019 10:00:54 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,15,Fri Aug 09 2019 23:50:05 GMT-0500 (CDT)
Fri Aug 09 2019 09:18:34 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,13,Fri Aug 09 2019 16:13:56 GMT-0500 (CDT)
Fri Aug 09 2019 07:18:34 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Fri Aug 09 2019 07:18:34 GMT-0500 (CDT)
Fri Aug 09 2019 06:38:50 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,7,Fri Aug 09 2019 08:42:04 GMT-0500 (CDT)
Fri Aug 09 2019 01:18:33 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Fri Aug 09 2019 01:18:33 GMT-0500 (CDT)
Thu Aug 08 2019 22:28:39 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Thu Aug 08 2019 22:28:39 GMT-0500 (CDT)
Thu Aug 08 2019 22:03:59 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,5,Fri Aug 09 2019 00:14:15 GMT-0500 (CDT)
Thu Aug 08 2019 18:16:27 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.3.1; Scale/3.00)",71.195.19.50,2,Thu Aug 08 2019 19:09:16 GMT-0500 (CDT)
Thu Aug 08 2019 17:28:07 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.3.1; Scale/3.00)",73.242.33.89,1,Thu Aug 08 2019 17:28:07 GMT-0500 (CDT)
Thu Aug 08 2019 17:19:04 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.3.1; Scale/3.00)",107.77.209.13,6,Thu Aug 08 2019 21:14:35 GMT-0500 (CDT)
Thu Aug 08 2019 15:43:32 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,5,Thu Aug 08 2019 20:13:33 GMT-0500 (CDT)
Thu Aug 08 2019 15:14:40 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,15,Thu Aug 08 2019 22:51:03 GMT-0500 (CDT)
Thu Aug 08 2019 14:31:28 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.3.1; Scale/3.00)",107.77.209.13,1,Thu Aug 08 2019 14:31:28 GMT-0500 (CDT)
Thu Aug 08 2019 12:48:37 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,1,Thu Aug 08 2019 12:48:37 GMT-0500 (CDT)
Thu Aug 08 2019 07:18:32 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,6,Thu Aug 08 2019 13:28:33 GMT-0500 (CDT)
Thu Aug 08 2019 06:42:59 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.3.1; Scale/3.00)",71.195.19.50,12,Thu Aug 08 2019 16:14:01 GMT-0500 (CDT)
Thu Aug 08 2019 01:18:32 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,1,Thu Aug 08 2019 01:18:32 GMT-0500 (CDT)
Wed Aug 07 2019 22:50:47 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,3,Wed Aug 07 2019 22:50:51 GMT-0500 (CDT)
Wed Aug 07 2019 22:43:54 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.3.1; Scale/3.00)",71.195.19.50,3,Wed Aug 07 2019 23:03:59 GMT-0500 (CDT)
Wed Aug 07 2019 20:32:14 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.0 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.0",71.195.19.50,1,Wed Aug 07 2019 20:32:14 GMT-0500 (CDT)
